error,KP,KD,KI
59.21875,0.001,0.01,0.0001
9.609375,0.001,0.01,0.0001
39.21875,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
28.75,0.001,0.01,0.0001
58.046875,0.001,0.01,0.0001
24.453125,0.001,0.01,0.0001
39.21875,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
11.5625,0.001,0.01,0.0001
53.359375,0.001,0.01,0.0001
17.8125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
1.015625,0.001,0.01,0.0001
45.546875,0.001,0.01,0.0001
12.734375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
6.796875,0.001,0.01,0.0001
49.453125,0.001,0.01,0.0001
59.21875,0.001,0.01,0.0001
6.796875,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
21.640625,0.001,0.01,0.0001
52.96875,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
13.125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
21.71875,0.001,0.01,0.0001
58.4375,0.001,0.01,0.0001
18.203125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
2.96875,0.001,0.01,0.0001
49.0625,0.001,0.01,0.0001
10.78125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
13.4375,0.001,0.01,0.0001
48.28125,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
4.0625,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
25.9375,0.001,0.01,0.0001
55.703125,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
23.28125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
10.0,0.001,0.01,0.0001
56.484375,0.001,0.01,0.0001
10.390625,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
8.75,0.001,0.01,0.0001
53.75,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
6.40625,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
20.46875,0.001,0.01,0.0001
58.4375,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
17.8125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
13.90625,0.001,0.01,0.0001
58.828125,0.001,0.01,0.0001
11.171875,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
10.3125,0.001,0.01,0.0001
56.09375,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
5.234375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
18.90625,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
20.546875,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
5.703125,0.001,0.01,0.0001
56.484375,0.001,0.01,0.0001
4.921875,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
16.953125,0.001,0.01,0.0001
54.140625,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
0.625,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
10.390625,0.001,0.01,0.0001
59.609375,0.001,0.01,0.0001
8.828125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
23.984375,0.001,0.01,0.0001
50.234375,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
6.09375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
1.015625,0.001,0.01,0.0001
57.265625,0.001,0.01,0.0001
4.53125,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
28.671875,0.001,0.01,0.0001
49.0625,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
